season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,hour,dayofweek,is_weekend,temp_bin,humidity_bin,count
4,0,1,1,25.42,31.06,46,27.9993,2011,11,14,16,0,0,2,1,315
2,0,0,1,24.6,29.545,18,30.0026,2012,4,8,14,6,1,2,0,503
3,0,0,1,30.34,35.605,74,19.9995,2012,8,5,7,6,1,3,2,68
1,0,1,1,8.2,12.88,40,0.0,2011,3,3,22,3,0,0,0,53
4,0,0,3,16.4,20.455,87,11.0014,2012,12,9,8,6,1,1,2,69
1,0,1,2,21.32,25.0,59,15.0013,2012,3,13,1,1,0,2,1,16
3,0,1,3,22.14,25.76,94,26.0027,2011,9,6,15,1,0,2,2,89
1,0,0,2,17.22,21.21,88,7.0015,2012,3,18,8,6,1,1,2,96
2,0,1,1,22.96,26.515,64,23.9994,2011,6,15,0,2,0,2,1,52
2,0,1,1,20.5,24.24,51,27.9993,2012,5,10,10,3,0,2,1,154
4,0,0,2,13.94,17.425,87,6.0032,2012,12,16,2,6,1,1,2,87
3,0,1,1,36.9,40.15,33,16.9979,2012,7,6,18,4,0,3,0,560
4,0,1,1,22.96,26.515,64,19.9995,2011,11,14,23,0,0,2,1,61
2,0,1,1,26.24,30.305,73,12.998,2012,5,16,21,2,0,2,2,393
4,0,1,1,19.68,23.485,33,19.0012,2012,12,5,15,2,0,1,0,285
4,0,1,1,20.5,24.24,72,8.9981,2011,10,4,22,1,0,2,2,114
4,0,1,1,15.58,19.695,46,12.998,2011,12,19,17,0,0,1,1,378
4,0,0,2,13.12,15.15,49,19.9995,2012,11,3,4,5,1,1,1,16
4,0,1,1,13.94,18.18,87,0.0,2011,11,2,9,2,0,1,2,228
2,0,0,1,23.78,27.275,49,0.0,2011,5,8,18,6,1,2,1,268
3,0,1,1,31.16,35.605,62,0.0,2011,7,13,0,2,0,3,1,46
2,0,1,1,18.04,21.97,62,16.9979,2011,4,13,20,2,0,1,1,126
4,0,0,1,11.48,12.88,56,22.0028,2011,11,5,4,5,1,1,1,8
1,0,0,1,7.38,9.85,47,8.9981,2011,1,16,19,6,1,0,1,61
1,0,1,1,25.42,31.06,46,8.9981,2011,3,18,20,4,0,2,1,149
3,0,1,1,22.96,26.515,88,0.0,2011,9,12,1,0,0,2,2,12
2,0,1,2,21.32,25.0,83,15.0013,2012,6,18,3,0,0,2,2,4
3,0,1,1,29.52,34.09,70,8.9981,2012,8,1,21,2,0,2,1,320
4,0,1,2,21.32,25.0,63,0.0,2012,10,1,9,0,0,2,1,340
3,0,1,3,22.14,25.76,94,16.9979,2011,9,6,23,1,0,2,2,58
2,0,1,1,20.5,24.24,77,12.998,2012,5,7,2,0,0,2,2,6
3,0,1,2,24.6,27.275,88,11.0014,2012,9,18,18,1,0,2,2,281
2,0,0,2,26.24,31.06,36,11.0014,2012,5,12,19,5,1,2,0,439
4,0,1,1,22.96,26.515,49,6.0032,2011,10,6,12,3,0,2,1,226
3,0,0,1,29.52,34.85,79,6.0032,2012,7,15,21,6,1,2,2,223
1,0,1,3,9.02,13.635,87,0.0,2012,1,9,17,0,0,0,2,152
3,0,1,1,16.4,20.455,71,16.9979,2011,9,16,3,4,0,1,2,6
4,0,1,1,26.24,31.06,47,22.0028,2011,10,5,16,2,0,2,1,282
1,0,1,1,18.86,22.725,28,19.0012,2011,2,16,17,2,0,1,0,255
4,0,0,1,14.76,17.425,66,12.998,2012,11,10,9,5,1,1,1,259
2,0,0,2,30.34,34.09,58,6.0032,2011,6,19,18,6,1,3,1,296
4,0,0,1,22.14,25.76,83,12.998,2012,10,6,5,5,1,2,2,10
1,0,1,1,17.22,21.21,62,19.0012,2011,3,17,23,3,0,1,1,50
1,0,0,1,10.66,12.88,93,11.0014,2012,1,1,7,6,1,1,2,7
2,0,1,2,22.14,25.76,94,6.0032,2011,5,18,11,2,0,2,2,23
4,0,1,1,13.12,17.425,93,0.0,2011,11,9,8,2,0,1,2,456
3,0,1,1,28.7,32.575,65,12.998,2011,7,11,0,0,0,2,1,35
3,0,1,1,35.26,40.15,47,19.9995,2011,7,12,18,1,0,3,1,511
2,0,1,1,14.76,17.425,76,8.9981,2011,4,14,2,3,0,1,2,3
1,0,0,3,9.02,11.365,100,8.9981,2011,2,5,11,5,1,0,2,47
3,0,1,1,24.6,28.79,78,11.0014,2011,7,15,2,4,0,2,2,38
2,0,1,3,24.6,27.275,88,8.9981,2012,6,12,5,1,0,2,2,29
1,0,0,1,20.5,24.24,34,31.0009,2011,3,19,13,5,1,2,0,301
4,0,0,1,9.84,14.395,87,0.0,2011,11,6,3,6,1,0,2,9
4,0,1,1,22.96,26.515,64,16.9979,2012,10,15,17,0,0,2,1,766
2,0,1,1,26.24,30.305,73,12.998,2012,5,3,20,3,0,2,2,420
1,0,1,1,15.58,19.695,40,31.0009,2011,2,14,8,0,0,1,0,256
2,0,1,3,21.32,25.0,94,19.9995,2012,5,14,6,0,0,2,2,65
4,0,1,2,22.14,25.76,94,7.0015,2012,10,19,8,4,0,2,2,467
2,0,1,1,24.6,31.06,38,32.9975,2012,4,17,9,1,0,2,0,400
2,0,1,1,31.16,35.605,58,11.0014,2011,6,8,9,2,0,3,1,202
4,0,1,1,5.74,8.335,93,7.0015,2011,12,19,5,0,0,0,2,21
2,0,1,2,19.68,23.485,88,22.0028,2011,4,5,7,1,0,1,2,134
1,0,1,1,16.4,20.455,37,26.0027,2011,2,14,9,0,0,1,0,130
4,0,0,1,17.22,21.21,82,11.0014,2012,12,8,16,5,1,1,2,507
4,0,1,1,22.96,26.515,49,12.998,2011,10,17,3,0,0,2,1,2
3,0,1,1,22.14,25.76,60,23.9994,2012,9,10,2,0,0,2,1,17
4,0,1,2,13.94,15.15,61,22.0028,2011,11,17,9,3,0,1,1,198
4,0,1,1,15.58,19.695,87,0.0,2012,12,3,3,0,0,1,2,8
2,0,0,2,15.58,19.695,87,8.9981,2011,4,10,1,6,1,1,2,37
3,0,1,1,26.24,30.305,73,11.0014,2011,8,17,1,2,0,2,2,14
3,0,1,1,18.86,22.725,67,31.0009,2011,9,15,19,3,0,1,1,232
2,0,1,1,16.4,20.455,50,8.9981,2012,4,5,23,3,0,1,1,136
2,0,1,3,13.94,15.15,93,26.0027,2011,5,4,6,2,0,1,2,21
2,0,1,1,19.68,23.485,31,19.0012,2012,4,12,16,3,0,1,0,353
2,0,1,1,18.86,22.725,44,19.0012,2011,5,5,9,3,0,1,1,184
1,0,0,2,17.22,21.21,94,0.0,2012,3,17,4,5,1,1,2,2
4,0,0,2,17.22,21.21,71,19.0012,2011,10,1,15,5,1,1,2,195
2,0,0,1,33.62,37.88,46,0.0,2011,6,12,12,6,1,3,1,420
2,0,1,1,18.86,22.725,72,8.9981,2011,5,2,0,0,0,1,2,177
2,0,0,1,20.5,24.24,34,26.0027,2011,4,17,13,6,1,2,0,343
1,0,1,1,8.2,11.365,40,7.0015,2011,1,10,17,0,0,0,0,178
3,0,0,1,27.88,31.82,39,0.0,2012,9,9,13,6,1,2,0,729
3,0,1,1,35.26,42.425,56,27.9993,2011,7,11,17,0,0,3,1,514
1,0,0,2,13.12,15.15,36,19.0012,2011,1,15,17,5,1,1,0,83
4,0,1,2,13.94,15.91,87,19.0012,2012,11,13,5,1,0,1,2,18
1,0,0,1,13.94,15.15,49,22.0028,2011,3,12,11,5,1,1,1,119
4,0,1,1,22.14,25.76,73,6.0032,2012,10,5,2,4,0,2,2,11
2,0,1,2,29.52,31.82,23,32.9975,2011,4,4,18,0,0,2,0,386
1,0,0,2,10.66,12.88,56,11.0014,2011,1,16,5,6,1,1,1,2
2,0,1,1,16.4,20.455,76,32.9975,2012,4,2,5,0,0,1,2,24
2,1,0,1,21.32,25.0,55,32.9975,2011,4,15,16,4,0,2,1,243
4,0,1,2,12.3,15.15,70,11.0014,2011,12,9,10,4,0,1,1,126
1,0,1,1,20.5,24.24,59,19.0012,2011,2,17,22,3,0,2,1,76
1,0,1,2,6.56,7.575,86,15.0013,2011,1,11,16,1,0,0,2,76
2,0,0,1,25.42,31.06,53,19.9995,2012,6,16,22,5,1,2,1,280
4,0,1,1,16.4,20.455,40,16.9979,2011,12,19,16,0,0,1,0,208
1,0,1,1,21.32,25.0,77,15.0013,2012,3,13,10,1,0,2,2,143
3,0,1,1,29.52,34.09,62,15.0013,2011,8,1,20,0,0,2,1,305
3,0,0,1,36.08,39.395,37,12.998,2012,7,7,21,5,1,3,0,201
1,0,0,1,17.22,21.21,54,15.0013,2012,3,11,21,6,1,1,1,147
4,0,1,2,18.86,22.725,94,15.0013,2011,12,6,9,1,0,1,2,204
3,0,1,1,29.52,34.09,70,8.9981,2012,8,8,23,2,0,2,1,136
4,0,0,1,13.12,15.15,66,15.0013,2012,10,13,3,5,1,1,1,15
3,0,1,1,33.62,37.88,46,15.0013,2012,8,14,15,1,0,3,1,283
3,0,0,2,27.06,31.06,69,16.9979,2011,9,3,9,5,1,2,1,201
2,0,1,1,20.5,24.24,31,0.0,2012,4,13,12,4,0,2,0,322
